Symbol,HGNC_ID,URL
ADM,259,https://identifiers.org/hgnc:259
ADM2,28898,https://identifiers.org/hgnc:28898
ADM5,27293,https://identifiers.org/hgnc:27293
ADNP,15766,https://identifiers.org/hgnc:15766
ADNP2,23803,https://identifiers.org/hgnc:23803
ADO,23506,https://identifiers.org/hgnc:23506
ADORA1,262,https://identifiers.org/hgnc:262
ADORA2A,263,https://identifiers.org/hgnc:263
ADORA2B,264,https://identifiers.org/hgnc:264
ADORA3,268,https://identifiers.org/hgnc:268
ADPGK,25250,https://identifiers.org/hgnc:25250
ADPRH,269,https://identifiers.org/hgnc:269
ADPRHL1,21303,https://identifiers.org/hgnc:21303
ADPRM,30925,https://identifiers.org/hgnc:30925
ADPRS,21304,https://identifiers.org/hgnc:21304
ADRA1A,277,https://identifiers.org/hgnc:277
ADRA1B,278,https://identifiers.org/hgnc:278
ADRA1D,280,https://identifiers.org/hgnc:280
ADRA2A,281,https://identifiers.org/hgnc:281
ADRA2B,282,https://identifiers.org/hgnc:282
ADRA2C,283,https://identifiers.org/hgnc:283
ADRB1,285,https://identifiers.org/hgnc:285
ADRB2,286,https://identifiers.org/hgnc:286
ADRB3,288,https://identifiers.org/hgnc:288
ADRM1,15759,https://identifiers.org/hgnc:15759
ADSL,291,https://identifiers.org/hgnc:291
ADSS1,20093,https://identifiers.org/hgnc:20093
ADSS2,292,https://identifiers.org/hgnc:292
ADTRP,21214,https://identifiers.org/hgnc:21214
AEBP1,303,https://identifiers.org/hgnc:303
AEBP2,24051,https://identifiers.org/hgnc:24051
AEN,25722,https://identifiers.org/hgnc:25722
AFAP1,24017,https://identifiers.org/hgnc:24017
AFAP1L1,26714,https://identifiers.org/hgnc:26714
AFAP1L2,25901,https://identifiers.org/hgnc:25901
AFDN,7137,https://identifiers.org/hgnc:7137
AFDN-DT,21236,https://identifiers.org/hgnc:21236
AFF1,7135,https://identifiers.org/hgnc:7135
AFF2,3776,https://identifiers.org/hgnc:3776
AFF3,6473,https://identifiers.org/hgnc:6473
AFF4,17869,https://identifiers.org/hgnc:17869
AFG1L,16411,https://identifiers.org/hgnc:16411
AFG2A,18119,https://identifiers.org/hgnc:18119
AFG2B,28762,https://identifiers.org/hgnc:28762
AFG3L1P,314,https://identifiers.org/hgnc:314
AFG3L2,315,https://identifiers.org/hgnc:315
AFM,316,https://identifiers.org/hgnc:316
AFMID,20910,https://identifiers.org/hgnc:20910
AFP,317,https://identifiers.org/hgnc:317
AFTPH,25951,https://identifiers.org/hgnc:25951
AGA,318,https://identifiers.org/hgnc:318
AGAP1,16922,https://identifiers.org/hgnc:16922
AGAP11,29421,https://identifiers.org/hgnc:29421
AGAP2,16921,https://identifiers.org/hgnc:16921
AGAP3,16923,https://identifiers.org/hgnc:16923
AGAP4,23459,https://identifiers.org/hgnc:23459
AGAP5,23467,https://identifiers.org/hgnc:23467
